xang_sect,yang_sect,xang_rel,yang_rel,x_rec,y_rec,type,misc,out1,out2,xang_total,yang_total,x_px,y_px,xang,yang
-30,-80,0,-20,,,ref_point,center,,,,,,,,
-30,-80,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-30,-80,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-30,-80,-15,0,,,align,horizontal_top,,,,,,,,
-30,-80,-15,0,,,align,horizontal_bottom,,,,,,,,
-30,-80,-15,0,,,ref_point,center,,,,,,,,
-30,-80,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-30,-80,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-30,-80,0,-5,,,ref_point,,,,,,,,,
-30,-80,0,-10,,,ref_point,,,,,,,,,
-30,-80,0,-15,,,ref_point,,,,,,,,,
-30,-80,-5,0,,,ref_point,,,,,,,,,
-30,-80,-5,-5,,,ref_point,,,,,,,,,
